product_sku,product_name,sales_date,sales_year,sales_month,total_quantity
1KKF-0027-C-BU-F,🐉 กางเกงขาสั้น Pajara WiseWear KKF-0027 ลาย 𝗞𝗔𝗞𝗔𝗢 𝗙𝗥𝗜𝗘𝗡𝗗𝗦 Collection : Best Wish to You ลิขสิทธิ์แท้ แบรนด์ PAJARA(,2025-10-01,2025,10,0
1KKF-0027-C-BU-FF,🐉 กางเกงขาสั้น Pajara WiseWear KKF-0027 ลาย 𝗞𝗔𝗞𝗔𝗢 𝗙𝗥𝗜𝗘𝗡𝗗𝗦 Collection : Best Wish to You ลิขสิทธิ์แท้ แบรนด์ PAJARA(,2025-10-01,2025,10,0
AL-001-DRS-WH/BU-F,ชุดนอน PajaraPajamas (Premium) รหัส AL-001 ลาย Alice 🍷⏱️ (กระโปรง-แขนสั้น สีขาว ฟรีไซส์),2025-10-01,2025,10,53
AL-001-LL-WH/BU-F,ชุดนอน PajaraPajamas (Premium) รหัส AL-001 ลาย Alice 🍷⏱️ (แขนยาว-ขายาว สีขาว ฟรีไซส์),2025-10-01,2025,10,81
AL-001-SL-WH/BU-F,ชุดนอน PajaraPajamas (Premium) รหัส AL-001 ลาย Alice 🍷⏱️ (แขนสั้น-ขายาว สีขาว ฟรีไซส์),2025-10-01,2025,10,105
AL-001-SS-WH/BU-F,ชุดนอน PajaraPajamas (Premium) รหัส AL-001 ลาย Alice 🍷⏱️ (แขนสั้น-ขาสั้น สีขาว ฟรีไซส์),2025-10-01,2025,10,132
AL-006-SET-BU-F/LD,"ชุดเซ็ตฮาวายลาย Alice แบรนด์ PAJARA (⏲️🫖สีฟ้า, ฟรีไซส์ สำหรับผู้หญิง)",2025-10-01,2025,10,11
AL-007-PI-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส AL-007 ลาย Alice🐰 (สีชมพู ไซส์ F),2025-10-01,2025,10,19
AL-007-PI-FF,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส AL-007 ลาย Alice🐰 (สีชมพู (Plus Size),2025-10-01,2025,10,10
AL-007-PI-M,สื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส AL-007 ลาย Alice🐰 (สีชมพู ไซส์ M),2025-10-01,2025,10,23
AL-007-WH-F,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส AL-007 ลาย Alice🐰 (สีขาว ไซส์ F),2025-10-01,2025,10,18
AL-007-WH-FF,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส AL-007 ลาย Alice🐰 (สีขาว (Plus Size),2025-10-01,2025,10,8
AL-007-WH-M,เสื้อยืดคอกลม PAJARA PAJAMAS ( T-Shirt) รหัส AL-007 ลาย Alice🐰 (สีขาว ไซส์ M),2025-10-01,2025,10,18
ANW-MM-001-1-BK,เสื้อยืดทรงครอป Meet Me ANW-MM-001 ลาย🥝AVOCADO สีดำ,2025-10-01,2025,10,10
ANW-MM-001-1-WH,เสื้อยืดทรงครอป Meet Me ANW-MM-001 ลาย🥝AVOCADO สีขาว,2025-10-01,2025,10,10
ANW-MM-001-2-BK,เสื้อยืดทรงครอป Meet Me ANW-MM-001 ลาย🍓สตอเบอรี่ สีดำ,2025-10-01,2025,10,10
ANW-MM-001-2-WH,เสื้อยืดทรงครอป Meet Me ANW-MM-001 ลาย🍓สตอเบอรี่ สีขาว,2025-10-01,2025,10,10
ANW-MM-001-3-BK,เสื้อยืดทรงครอป Meet Me ANW-MM-001 ลาย 𝗜❤️HER สีดำ,2025-10-01,2025,10,12
ANW-MM-001-3-WH,เสื้อยืดทรงครอป Meet Me ANW-MM-001 ลาย 𝗜❤️HER สีขาว,2025-10-01,2025,10,7
CSM-THU-001-WH-F,เฉพาะไลฟ์นี้ รวมเสื้อยืด T-Shirt ผู้ใหญ่ ลายลิขสิทธิ์ MHA (My Hero Academia) & CSM (ChainSaw Man) (CSM แขนสั้นสีขาว 001 (F ฟรีไซ,2025-10-01,2025,10,12
CSM-THU-002-BK-F,เฉพาะไลฟ์นี้ รวมเสื้อยืด T-Shirt ผู้ใหญ่ ลายลิขสิทธิ์ MHA (My Hero Academia) & CSM (ChainSaw Man) (CSM แขนสั้นสีดำ 002 (F ฟรีไซซ,2025-10-01,2025,10,9
